# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.baseline

# Run progress: 0.00% complete, ETA 00:20:50
# Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁶ ms/op
# Warmup Iteration   2: ≈ 10⁻⁶ ms/op
# Warmup Iteration   3: ≈ 10⁻⁶ ms/op
# Warmup Iteration   4: ≈ 10⁻⁶ ms/op
# Warmup Iteration   5: ≈ 10⁻⁶ ms/op
# Warmup Iteration   6: ≈ 10⁻⁶ ms/op
# Warmup Iteration   7: ≈ 10⁻⁶ ms/op
# Warmup Iteration   8: ≈ 10⁻⁶ ms/op
# Warmup Iteration   9: ≈ 10⁻⁶ ms/op
# Warmup Iteration  10: ≈ 10⁻⁶ ms/op
# Warmup Iteration  11: ≈ 10⁻⁶ ms/op
# Warmup Iteration  12: ≈ 10⁻⁶ ms/op
# Warmup Iteration  13: ≈ 10⁻⁶ ms/op
# Warmup Iteration  14: ≈ 10⁻⁶ ms/op
# Warmup Iteration  15: ≈ 10⁻⁶ ms/op
# Warmup Iteration  16: ≈ 10⁻⁶ ms/op
# Warmup Iteration  17: ≈ 10⁻⁶ ms/op
# Warmup Iteration  18: ≈ 10⁻⁶ ms/op
# Warmup Iteration  19: ≈ 10⁻⁶ ms/op
# Warmup Iteration  20: ≈ 10⁻⁶ ms/op
# Warmup Iteration  21: ≈ 10⁻⁶ ms/op
# Warmup Iteration  22: ≈ 10⁻⁶ ms/op
# Warmup Iteration  23: ≈ 10⁻⁶ ms/op
# Warmup Iteration  24: ≈ 10⁻⁶ ms/op
# Warmup Iteration  25: ≈ 10⁻⁶ ms/op
# Warmup Iteration  13: 30.568 ms/op
# Warmup Iteration  14: 31.378 ms/op
# Warmup Iteration  15: 30.401 ms/op
# Warmup Iteration  16: 30.040 ms/op
# Warmup Iteration  17: 29.874 ms/op
# Warmup Iteration  18: 30.578 ms/op
# Warmup Iteration  19: 30.103 ms/op
# Warmup Iteration  20: 29.936 ms/op
# Warmup Iteration  21: 30.675 ms/op
# Warmup Iteration  22: 33.634 ms/op
# Warmup Iteration  23: 30.162 ms/op
# Warmup Iteration  24: 31.268 ms/op
# Warmup Iteration  25: 30.684 ms/op
Iteration   1: 29.545 ms/op
Iteration   2: 29.877 ms/op
Iteration   3: 30.909 ms/op
Iteration   4: 29.971 ms/op
Iteration   5: 29.916 ms/op
Iteration   6: 33.755 ms/op
Iteration   7: 29.724 ms/op
Iteration   8: 29.902 ms/op
Iteration   9: 30.438 ms/op
Iteration  10: 30.851 ms/op
Iteration  11: 30.437 ms/op
Iteration  12: 30.149 ms/op
Iteration  13: 30.844 ms/op
Iteration  14: 30.484 ms/op
Iteration  15: 30.418 ms/op
Iteration  16: 30.597 ms/op
Iteration  17: 30.469 ms/op
Iteration  18: 35.764 ms/op
Iteration  19: 30.224 ms/op
Iteration  20: 31.015 ms/op
Iteration  21: 30.023 ms/op
Iteration  22: 30.182 ms/op
Iteration  23: 30.470 ms/op
Iteration  24: 31.159 ms/op
Iteration  25: 30.502 ms/op
Iteration  26: 30.428 ms/op
Iteration  27: 30.955 ms/op
Iteration  28: 30.121 ms/op
Iteration  29: 30.510 ms/op
Iteration  30: 31.046 ms/op
Iteration  31: 37.799 ms/op
Iteration  32: 30.410 ms/op
Iteration  33: 30.483 ms/op
Iteration  34: 30.352 ms/op
Iteration  35: 30.889 ms/op
Iteration  36: 31.305 ms/op
Iteration  37: 30.568 ms/op
Iteration  38: 30.120 ms/op
Iteration  39: 30.807 ms/op
Iteration  40: 30.758 ms/op
Iteration  41: 30.673 ms/op
Iteration  42: 31.030 ms/op
Iteration  43: 30.452 ms/op
Iteration  44: 30.605 ms/op
Iteration  45: 30.426 ms/op
Iteration  46: 30.083 ms/op
Iteration  47: 39.434 ms/op
Iteration  48: 31.975 ms/op
Iteration  49: 30.843 ms/op
Iteration  50: 30.926 ms/op
Iteration  51: 30.694 ms/op
Iteration  52: 30.428 ms/op
Iteration  53: 30.812 ms/op
Iteration  54: 31.759 ms/op
Iteration  55: 30.155 ms/op
Iteration  56: 30.372 ms/op
Iteration  57: 31.312 ms/op
Iteration  58: 35.568 ms/op
Iteration  59: 35.787 ms/op
Iteration  60: 35.864 ms/op
Iteration  61: 34.453 ms/op
Iteration  62: 35.379 ms/op
Iteration  63: 35.760 ms/op
Iteration  64: 35.118 ms/op
Iteration  65: 46.141 ms/op
Iteration  66: 31.038 ms/op
Iteration  67: 31.391 ms/op
Iteration  68: 30.811 ms/op
Iteration  69: 30.368 ms/op
Iteration  70: 31.268 ms/op
Iteration  71: 30.580 ms/op
Iteration  72: 30.639 ms/op
Iteration  73: 31.511 ms/op
Iteration  74: 30.342 ms/op
Iteration  75: 30.819 ms/op
Iteration  76: 30.959 ms/op
Iteration  77: 30.669 ms/op
Iteration  78: 32.781 ms/op
Iteration  79: 35.102 ms/op
Iteration  80: 30.782 ms/op
Iteration  81: 31.071 ms/op
Iteration  82: 30.552 ms/op
Iteration  83: 30.927 ms/op
Iteration  84: 37.907 ms/op
Iteration  85: 29.855 ms/op
Iteration  86: 31.327 ms/op
Iteration  87: 31.496 ms/op
Iteration  88: 30.644 ms/op
Iteration  89: 30.584 ms/op
Iteration  90: 30.627 ms/op
Iteration  91: 31.155 ms/op
Iteration  92: 30.234 ms/op
Iteration  93: 30.417 ms/op
Iteration  94: 29.964 ms/op
Iteration  95: 30.205 ms/op
Iteration  96: 31.498 ms/op
Iteration  97: 30.676 ms/op
Iteration  98: 30.226 ms/op
Iteration  99: 30.021 ms/op
Iteration 100: 31.254 ms/op


Result "forkJoinStream":
  31.499 ±(99.9%) 0.827 ms/op [Average]
  (min, avg, max) = (29.545, 31.499, 46.141), stdev = 2.439
  CI (99.9%): [30.672, 32.326] (assumes normal distribution)


# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.parallelStream

# Run progress: 30.00% complete, ETA 00:14:45
# Fork: 1 of 1
# Warmup Iteration   1: 5.900 ms/op
# Warmup Iteration   2: 4.123 ms/op
# Warmup Iteration   3: 4.108 ms/op
# Warmup Iteration   4: 4.146 ms/op
# Warmup Iteration   5: 4.128 ms/op
# Warmup Iteration   6: 4.105 ms/op
# Warmup Iteration   7: 4.106 ms/op
# Warmup Iteration   8: 4.109 ms/op
# Warmup Iteration   9: 4.105 ms/op
# Warmup Iteration  10: 4.161 ms/op
# Warmup Iteration  11: 4.129 ms/op
# Warmup Iteration  12: 4.098 ms/op
# Warmup Iteration  13: 4.124 ms/op
# Warmup Iteration  14: 4.106 ms/op
# Warmup Iteration  15: 4.121 ms/op
# Warmup Iteration  16: 4.101 ms/op
# Warmup Iteration  17: 4.092 ms/op
# Warmup Iteration  18: 4.113 ms/op
# Warmup Iteration  19: 4.108 ms/op
# Warmup Iteration  20: 4.110 ms/op
# Warmup Iteration  21: 4.127 ms/op
# Warmup Iteration  22: 4.141 ms/op
# Warmup Iteration  23: 4.116 ms/op
# Warmup Iteration  24: 4.105 ms/op
# Warmup Iteration  25: 4.117 ms/op
Iteration   1: 4.117 ms/op
Iteration   2: 4.122 ms/op
Iteration   3: 4.103 ms/op
Iteration   4: 4.083 ms/op
Iteration   5: 4.106 ms/op
Iteration   6: 4.100 ms/op
Iteration   7: 4.071 ms/op
Iteration   8: 4.113 ms/op
Iteration   9: 4.149 ms/op
Iteration  10: 4.106 ms/op
Iteration  11: 4.090 ms/op
Iteration  12: 4.112 ms/op
Iteration  13: 4.089 ms/op
Iteration  14: 4.074 ms/op
Iteration  15: 4.111 ms/op
Iteration  16: 4.094 ms/op
Iteration  17: 4.098 ms/op
Iteration  18: 4.087 ms/op
Iteration  19: 4.092 ms/op
Iteration  20: 4.099 ms/op
Iteration  21: 4.098 ms/op
Iteration  22: 4.073 ms/op
Iteration  23: 4.132 ms/op
Iteration  24: 4.084 ms/op
Iteration  25: 4.105 ms/op
Iteration  26: 4.089 ms/op
Iteration  27: 4.099 ms/op
Iteration  28: 4.088 ms/op
Iteration  29: 4.101 ms/op
Iteration  30: 4.105 ms/op
Iteration  31: 4.092 ms/op
Iteration  32: 4.123 ms/op
Iteration  33: 4.134 ms/op
Iteration  34: 4.104 ms/op
Iteration  35: 4.096 ms/op
Iteration  36: 4.110 ms/op
Iteration  37: 4.075 ms/op
Iteration  38: 4.128 ms/op
Iteration  39: 4.108 ms/op
Iteration  40: 4.094 ms/op
Iteration  41: 4.108 ms/op
Iteration  42: 4.071 ms/op
Iteration  43: 4.114 ms/op
Iteration  44: 4.113 ms/op
Iteration  45: 4.165 ms/op
Iteration  46: 4.123 ms/op
Iteration  47: 4.088 ms/op
Iteration  48: 4.090 ms/op
Iteration  49: 4.095 ms/op
Iteration  50: 4.103 ms/op
Iteration  51: 4.072 ms/op
Iteration  52: 4.103 ms/op
Iteration  53: 4.072 ms/op
Iteration  54: 4.116 ms/op
Iteration  55: 4.103 ms/op
Iteration  56: 4.108 ms/op
Iteration  57: 4.146 ms/op
Iteration  58: 4.085 ms/op
Iteration  59: 4.078 ms/op
Iteration  60: 4.112 ms/op
Iteration  61: 4.122 ms/op
Iteration  62: 4.123 ms/op
Iteration  63: 4.134 ms/op
Iteration  64: 4.120 ms/op
Iteration  65: 4.103 ms/op
Iteration  66: 4.109 ms/op
Iteration  67: 4.094 ms/op
Iteration  68: 4.149 ms/op
Iteration  69: 4.119 ms/op
Iteration  70: 4.091 ms/op
Iteration  71: 4.108 ms/op
Iteration  72: 4.084 ms/op
Iteration  73: 4.101 ms/op
Iteration  74: 4.071 ms/op
Iteration  75: 4.152 ms/op
Iteration  76: 4.089 ms/op
Iteration  77: 4.092 ms/op
Iteration  78: 4.097 ms/op
Iteration  79: 4.099 ms/op
Iteration  80: 4.091 ms/op
Iteration  81: 4.163 ms/op
Iteration  82: 4.115 ms/op
Iteration  83: 4.094 ms/op
Iteration  84: 4.079 ms/op
Iteration  85: 4.089 ms/op
Iteration  86: 4.088 ms/op
Iteration  87: 4.111 ms/op
Iteration  88: 4.088 ms/op
Iteration  89: 4.111 ms/op
Iteration  90: 4.150 ms/op
Iteration  91: 4.116 ms/op
Iteration  92: 4.104 ms/op
Iteration  93: 4.125 ms/op
Iteration  94: 4.120 ms/op
Iteration  95: 4.094 ms/op
Iteration  96: 4.112 ms/op
Iteration  97: 4.133 ms/op
Iteration  98: 4.089 ms/op
Iteration  99: 4.154 ms/op
Iteration 100: 4.100 ms/op


Result "parallelStream":
  4.105 ±(99.9%) 0.007 ms/op [Average]
  (min, avg, max) = (4.071, 4.105, 4.165), stdev = 0.021
  CI (99.9%): [4.098, 4.112] (assumes normal distribution)


# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.sequentialStream

# Run progress: 40.00% complete, ETA 00:12:38
# Fork: 1 of 1
# Warmup Iteration   1: 14.868 ms/op
# Warmup Iteration   2: 11.758 ms/op
# Warmup Iteration   3: 11.375 ms/op
# Warmup Iteration   4: 11.386 ms/op
# Warmup Iteration   5: 11.400 ms/op
# Warmup Iteration   6: 11.469 ms/op
# Warmup Iteration   7: 11.485 ms/op
# Warmup Iteration   8: 11.345 ms/op
# Warmup Iteration   9: 11.374 ms/op
# Warmup Iteration  10: 11.404 ms/op
# Warmup Iteration  11: 11.553 ms/op
# Warmup Iteration  12: 11.525 ms/op
# Warmup Iteration  13: 11.432 ms/op
# Warmup Iteration  14: 11.488 ms/op
# Warmup Iteration  15: 11.441 ms/op
# Warmup Iteration  16: 11.531 ms/op
# Warmup Iteration  17: 11.411 ms/op
# Warmup Iteration  18: 11.398 ms/op
# Warmup Iteration  19: 11.411 ms/op
# Warmup Iteration  20: 11.430 ms/op
# Warmup Iteration  21: 11.490 ms/op
# Warmup Iteration  22: 11.580 ms/op
# Warmup Iteration  23: 11.523 ms/op
# Warmup Iteration  24: 11.403 ms/op
# Warmup Iteration  25: 11.384 ms/op
Iteration   1: 11.445 ms/op
Iteration   2: 11.479 ms/op
Iteration   3: 11.577 ms/op
Iteration   4: 11.569 ms/op
Iteration   5: 11.533 ms/op
Iteration   6: 11.556 ms/op
Iteration   7: 11.394 ms/op
Iteration   8: 11.428 ms/op
Iteration   9: 11.452 ms/op
Iteration  10: 11.557 ms/op
Iteration  11: 11.513 ms/op
Iteration  12: 11.477 ms/op
Iteration  13: 11.517 ms/op
Iteration  14: 11.596 ms/op
Iteration  15: 11.590 ms/op
Iteration  16: 11.556 ms/op
Iteration  17: 11.448 ms/op
Iteration  18: 11.477 ms/op
Iteration  19: 11.460 ms/op
Iteration  20: 11.462 ms/op
Iteration  21: 11.535 ms/op
Iteration  22: 11.455 ms/op
Iteration  23: 11.536 ms/op
Iteration  24: 11.368 ms/op
Iteration  25: 11.474 ms/op
Iteration  26: 11.445 ms/op
Iteration  27: 11.563 ms/op
Iteration  28: 11.581 ms/op
Iteration  29: 11.604 ms/op
Iteration  30: 11.601 ms/op
Iteration  31: 11.397 ms/op
Iteration  32: 11.438 ms/op
Iteration  33: 11.590 ms/op
Iteration  34: 11.475 ms/op
Iteration  35: 11.565 ms/op
Iteration  36: 11.422 ms/op
Iteration  37: 11.458 ms/op
Iteration  38: 11.416 ms/op
Iteration  39: 11.524 ms/op
Iteration  40: 11.464 ms/op
Iteration  41: 11.446 ms/op
Iteration  42: 11.462 ms/op
Iteration  43: 11.978 ms/op
